Epoch 90, Train Loss: 0.003608, Train Accuracy: 99.8817%, Test Loss: 0.223216, Test Accuracy: 97.32%
Epoch 91, Train Loss: 0.00196447, Train Accuracy: 99.9267%, Test Loss: 0.213449, Test Accuracy: 97.28%
Epoch 92, Train Loss: 0.00429984, Train Accuracy: 99.8567%, Test Loss: 0.244381, Test Accuracy: 96.81%
Epoch 93, Train Loss: 0.00293831, Train Accuracy: 99.895%, Test Loss: 0.223759, Test Accuracy: 97.24%
Epoch 94, Train Loss: 0.00123421, Train Accuracy: 99.955%, Test Loss: 0.215485, Test Accuracy: 97.27%
Epoch 95, Train Loss: 0.00367303, Train Accuracy: 99.8833%, Test Loss: 0.266071, Test Accuracy: 96.86%
Epoch 96, Train Loss: 0.00531776, Train Accuracy: 99.8317%, Test Loss: 0.236515, Test Accuracy: 97.2%
Epoch 97, Train Loss: 0.00112471, Train Accuracy: 99.9633%, Test Loss: 0.219422, Test Accuracy: 97.31%
Epoch 98, Train Loss: 0.000535191, Train Accuracy: 99.9883%, Test Loss: 0.218385, Test Accuracy: 97.23%
Epoch 99, Train Loss: 0.00173685, Train Accuracy: 99.945%, Test Loss: 0.287526, Test Accuracy: 96.79%
Epoch 100, Train Loss: 0.00756476, Train Accuracy: 99.765%, Test Loss: 0.235872, Test Accuracy: 97.17%
