Epoch 89, Train Loss: 0.0524153, Train Accuracy: 98.3483%, Test Loss: 0.185839, Test Accuracy: 96.05%
Epoch 90, Train Loss: 0.0570047, Train Accuracy: 98.24%, Test Loss: 0.178058, Test Accuracy: 96.32%
Epoch 91, Train Loss: 0.0527191, Train Accuracy: 98.3717%, Test Loss: 0.180471, Test Accuracy: 96.16%
Epoch 92, Train Loss: 0.0546492, Train Accuracy: 98.2883%, Test Loss: 0.174762, Test Accuracy: 96.26%
Epoch 93, Train Loss: 0.0554105, Train Accuracy: 98.2767%, Test Loss: 0.192557, Test Accuracy: 96.04%
Epoch 94, Train Loss: 0.0554342, Train Accuracy: 98.2567%, Test Loss: 0.185861, Test Accuracy: 96.06%
Epoch 95, Train Loss: 0.0514244, Train Accuracy: 98.37%, Test Loss: 0.176454, Test Accuracy: 96.3%
Epoch 96, Train Loss: 0.0526287, Train Accuracy: 98.3683%, Test Loss: 0.199921, Test Accuracy: 96.12%
Epoch 97, Train Loss: 0.0539129, Train Accuracy: 98.2983%, Test Loss: 0.18026, Test Accuracy: 96.16%
Epoch 98, Train Loss: 0.0542176, Train Accuracy: 98.305%, Test Loss: 0.176297, Test Accuracy: 96.05%
Epoch 99, Train Loss: 0.051105, Train Accuracy: 98.33%, Test Loss: 0.176014, Test Accuracy: 96.21%
Epoch 100, Train Loss: 0.052896, Train Accuracy: 98.3433%, Test Loss: 0.197464, Test Accuracy: 96.07%
